model,type
b5025746-e58f-4696-837c-5b21808b7ae9,Torus
30a730ca-c466-4e8c-b00b-bf7b317495e2,Cone
7d0c7362-1e8d-4008-b444-cdf111e06ce9,Sphere
d58d68a4-7acb-48d8-96bd-71f1eca1affe,Sphere
df907d43-7c4f-4ccd-9350-0d84c41dba54,Cube
bedc4cdc-2cdf-454d-bac2-8a3ad355074a,Sphere
49ef59b8-8e12-4034-adc6-f6fb7ad2920e,Cylinder
1b220e0b-d7fa-40a0-8cfd-930a3228c668,Sphere
59c03260-88b9-4332-af20-38c3b33c0521,Cone
c0929359-59ce-42d8-b852-47e3dd0db03a,Cone
f579e834-d206-4858-90f6-138697411edb,Cylinder
c2cb3437-2c52-4897-b290-b3805b4346ce,Cylinder
347130e7-e4ad-4714-a322-dadd515433f7,Torus.001
e73f299a-0be0-4a5d-a3df-2f409b0eaba3,Torus.002
aeb167f8-5315-40eb-9a4e-e527f3e15f6a,Sphere
c6c36fbe-3963-41fd-bcfb-b5bd7c0bdc19,Cylinder
a51d365e-5b8b-43ea-a249-33b4f09d97d9,Cylinder
1346fe51-b6f1-4036-a2c4-cdf84abf6c85,Cone
8b92057e-38bb-48de-9f9d-4427d2bab1aa,Torus.003
1715abb8-f4e4-4eb3-a030-6c5b0083f1f0,Cylinder
7a9795d5-3492-4f8d-914c-dc85ee220d61,Cube
e78eab6b-952a-4488-8749-872918bb8e51,Cone
7e44a404-6750-4a11-b9bf-fa2fa952fbec,Torus.004
98786c93-7316-4b29-8cf9-5be4f3af0d69,Cylinder
0b75c9af-3446-4610-973c-f81ad11f660a,Cone
e5996f03-9f11-4395-a284-11e08f6f5c20,Cube
a5a5c615-a7de-4061-bb49-9d4d4474b0ed,Cube
3d49d0f7-4ea3-4c0d-8059-15a1adc569ab,Sphere
47a6b641-7c8d-45f3-b1da-c0fd6c9283a0,Cube
2fc56fcc-6782-496a-bd5a-b1833d7e9c35,Sphere
63959cc0-b2ae-437d-836e-6e1c8c5c90d5,Cylinder
439e5674-28a9-4f4e-ba3e-c0ef1e3e2bd2,Torus.005
95dad1d9-fa99-4aeb-a277-786888c48c0b,Cone
13f0e1de-9b77-429b-b2cf-62b9a7dfb2d5,Sphere
74295b5b-3ad8-493d-9b18-639da95593f4,Cone
8d329ee4-838e-4bb6-97ab-ae34e4f7c8d1,Torus.006
1217768d-9bf9-44ce-ba65-110e04b0af29,Cube
80d77365-2716-496a-91f1-3f460fc8e06c,Sphere
84973a0a-11f8-4276-af24-f72b86c8423e,Sphere
f62e1d95-6207-4b78-a80a-d7ae3635f57b,Cylinder
0b69b102-3bce-4ae2-aab6-7f43b46b6bd0,Torus.007
5c503d00-628e-486a-911c-d0d1a3522850,Cube
89c9b680-cbe1-4944-8083-93bab77620d6,Torus.008
275c0d23-3790-4077-a84f-832ce8509b6d,Sphere
762db18c-0503-476b-88d2-1acc4e76ea04,Sphere
d13684e2-1ac8-48b6-9ba3-e050bcca508e,Cone
6ea7fc0e-d0ee-408b-8dab-fa5c6ed12ec4,Sphere
bc53f01a-98b4-4925-8b46-7793ec18064b,Cube
7750707a-7e9e-4f60-a58b-fb17829060b2,Torus.009
f0a6aa67-3dca-4cfa-a392-05e72f707e06,Torus.010
1ca03150-0a8d-435a-a2d8-f16f20eb432d,Torus.011
b5ba0f1f-d0b5-4494-a852-bfed4eea1a01,Cube
b2c9feae-cf5d-4c76-9e65-6ec97e4a9954,Sphere
620e3602-ebfb-4d19-bdc3-f11b26c1b257,Sphere
aeadae6e-71ac-461f-bf52-0557da738359,Cylinder
6025352a-c11c-4ee7-8fd7-ffba3024b258,Cone
27fb1687-464e-42a5-b20a-876248f6d798,Sphere
be748cf2-eaee-4d30-8448-17e55f81b4f6,Cylinder
139926b6-ca10-4f77-956c-5d023a3b5ce1,Cone
4e57ebaf-6034-490b-94bc-de19a0940429,Cone
68764bec-d348-4839-8d22-75d14855f3b1,Cube
6baecd11-c916-444e-be6f-5363a2a39769,Cylinder
3d9eb651-62eb-4f3e-ad61-3427097dcfbc,Torus.012
fa06d9eb-39ec-40d6-8021-e9b864bdd349,Sphere
936bbf77-d39e-41e9-88cd-a5665ef5e92c,Torus.013
